kind,event_count
variant_shadow_decision,241192
strategy_shadow_decision,15225
book_state,13637
strategy_shadow_summary,7322
shadow_decision,4997
decision_skipped,2840
shadow_summary,2364
llm_input,1440
llm_output,1440
snapshot_enrichment,1440
shadow_coverage,1037
decisions,875
error,565
variant_shadow_trade,544
universe_selection,147
setup_status,128
rejected,92
order_execution,66
setup_proposed,49
research_gate_result,40
model_close_audit,29
maker_attempt,13
reconciled_close,6
entry_liquidity_rejected,5
equity_basis_migration,3
entry_execution_failed,1
